Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
21–23,Female,Yes,About Time,2–3 times,1–6 months ago,3,2,2,2,2,3,3,1,2,2,2.2,2.2
24 or above,Male,Yes,Blue Valentine,1 time,More than 6 months ago,2,3,1,3,2,3,3,2,3,3,2.2,2.8
18–20,Male,Yes,Spider-Man Into the Spider-Verse,More than 3 times,More than 6 months ago,3,2,2,3,4,2,2,2,4,2,2.8,2.4
18–20,Female,Yes,The Hunger Games,2–3 times,1–6 months ago,3,4,4,3,5,3,3,5,3,4,3.8,3.6
24 or above,Female,Yes,Ordinary People,2–3 times,1–6 months ago,4,3,4,3,3,3,3,4,3,1,3.4,2.8
Under 18,Male,Yes,The Princess and the Frog,More than 3 times,Within last 1 month,4,3,3,4,4,4,3,2,4,4,3.6,3.4
18–20,Female,Yes,The Notebook,2–3 times,1–6 months ago,4,4,3,4,3,2,4,4,4,4,3.6,3.6
18–20,Male,Yes,Me Before You,2–3 times,1–6 months ago,2,4,5,4,3,3,3,4,3,2,3.6,3.0
24 or above,Male,Yes,Fried Green Tomatoes,More than 3 times,1–6 months ago,2,2,4,3,2,2,3,3,3,4,2.6,3.0
21–23,Female,Yes,Aftersun,1 time,Within last 1 month,2,4,4,3,4,3,3,4,4,4,3.4,3.6
21–23,Male,Yes,Eternal Sunshine of the Spotless Mind,1 time,1–6 months ago,3,3,3,3,3,5,3,4,4,3,3.0,3.8
21–23,Female,Yes,Spotlight,1 time,1–6 months ago,4,5,3,4,4,5,4,4,2,5,4.0,4.0
18–20,Female,Yes,Moonlight,More than 3 times,Within last 1 month,5,4,4,5,3,4,4,5,5,3,4.2,4.2
21–23,Male,Yes,Atonement,1 time,1–6 months ago,2,1,2,1,1,3,2,1,2,2,1.4,2.0
24 or above,Female,Yes,The Green Mile,1 time,1–6 months ago,5,5,5,5,5,5,3,5,3,3,5.0,3.8
18–20,Female,Yes,The Fault in Our Stars,1 time,1–6 months ago,4,4,4,3,4,2,2,3,2,2,3.8,2.2
21–23,Male,Yes,The Farewell,1 time,Within last 1 month,4,4,2,4,3,4,3,4,3,4,3.4,3.6
24 or above,Prefer not to say,Yes,Shadowlands,More than 3 times,More than 6 months ago,4,3,5,4,5,4,5,3,4,3,4.2,3.8
24 or above,Male,Yes,The Lives of Others,1 time,More than 6 months ago,2,3,2,3,2,3,3,4,2,3,2.4,3.0
21–23,Male,Yes,Rocketman,1 time,1–6 months ago,3,2,2,2,2,2,1,2,1,2,2.2,1.6
21–23,Prefer not to say,Yes,Parasite,More than 3 times,Within last 1 month,3,2,4,3,2,2,3,3,3,2,2.8,2.6
21–23,Male,Yes,Before Midnight,1 time,1–6 months ago,4,2,2,3,3,2,4,3,1,4,2.8,2.8
21–23,Male,Yes,The Farewell,2–3 times,1–6 months ago,5,4,4,5,5,3,3,3,3,5,4.6,3.4
24 or above,Male,Yes,Forrest Gump,More than 3 times,Within last 1 month,3,3,3,3,2,3,3,2,4,3,2.8,3.0
18–20,Female,Yes,Where the Crawdads Sing,1 time,1–6 months ago,3,5,3,4,3,4,3,5,4,5,3.6,4.2
21–23,Female,Yes,Grave of the Fireflies,2–3 times,1–6 months ago,2,3,3,1,4,4,1,2,3,2,2.6,2.4
Under 18,Male,Yes,Mirai,2–3 times,More than 6 months ago,4,4,3,4,4,4,5,3,4,5,3.8,4.2
24 or above,Prefer not to say,Yes,A Separation,1 time,1–6 months ago,5,4,5,4,5,3,3,3,3,2,4.6,2.8
21–23,Prefer not to say,Yes,Portrait of a Lady on Fire,More than 3 times,More than 6 months ago,4,4,5,4,3,4,3,4,4,4,4.0,3.8
18–20,Female,Yes,La La Land,1 time,More than 6 months ago,4,4,4,4,3,3,4,3,4,3,3.8,3.4
18–20,Female,Yes,Never Let Me Go,1 time,1–6 months ago,5,5,4,5,5,5,4,4,5,4,4.8,4.4
24 or above,Female,Yes,The Theory of Everything,1 time,Within last 1 month,3,3,4,2,3,3,2,3,4,3,3.0,3.0
18–20,Male,Yes,Your Name,1 time,Within last 1 month,3,3,3,3,3,3,3,5,4,3,3.0,3.6
21–23,Prefer not to say,Yes,The Imitation Game,1 time,1–6 months ago,3,3,3,3,2,2,3,1,2,2,2.8,2.0
24 or above,Female,Yes,Never Let Me Go,1 time,More than 6 months ago,4,3,4,5,4,3,2,3,3,2,4.0,2.6
21–23,Female,Yes,The Boy in the Striped Pyjamas,More than 3 times,More than 6 months ago,2,1,1,2,1,2,2,1,1,2,1.4,1.6
24 or above,Male,Yes,The Lives of Others,1 time,1–6 months ago,3,3,4,4,3,3,3,3,2,4,3.4,3.0
21–23,Prefer not to say,Yes,Aftersun,2–3 times,1–6 months ago,5,5,5,5,3,3,4,3,2,3,4.6,3.0
21–23,Female,Yes,The Lives of Others,More than 3 times,1–6 months ago,5,4,5,5,5,5,3,3,4,4,4.8,3.8
24 or above,Male,Yes,The Hours,More than 3 times,More than 6 months ago,4,4,5,5,5,4,3,4,3,5,4.6,3.8
21–23,Female,Yes,Call Me by Your Name,2–3 times,Within last 1 month,3,5,4,3,4,3,4,2,4,4,3.8,3.4
21–23,Prefer not to say,Yes,The Father,1 time,1–6 months ago,5,5,5,3,5,5,5,5,5,5,4.6,5.0
18–20,Male,Yes,Whiplash,2–3 times,1–6 months ago,4,4,5,4,4,3,3,3,3,2,4.2,2.8
18–20,Male,Yes,Love Rosie,More than 3 times,More than 6 months ago,4,4,4,3,5,4,3,1,3,3,4.0,2.8
18–20,Male,Yes,Marriage Story,1 time,Within last 1 month,4,5,5,4,4,4,4,5,5,5,4.4,4.6
24 or above,Female,Yes,Steel Magnolias,1 time,1–6 months ago,4,4,5,5,4,4,5,4,4,4,4.4,4.2
24 or above,Female,Yes,Boys Don't Cry,1 time,Within last 1 month,4,5,5,4,5,4,3,4,4,4,4.6,3.8
18–20,Female,Yes,Joker,2–3 times,1–6 months ago,5,3,3,4,3,4,4,3,4,3,3.6,3.6
18–20,Female,Yes,The Dark Knight,1 time,Within last 1 month,2,2,4,2,4,3,3,3,3,4,2.8,3.2
21–23,Female,Yes,Past Lives,2–3 times,Within last 1 month,4,2,1,4,2,3,2,1,2,2,2.6,2.0
18–20,Female,Yes,The Notebook,More than 3 times,Within last 1 month,3,3,3,3,2,1,2,2,2,3,2.8,2.0
Under 18,Female,Yes,Onward,More than 3 times,1–6 months ago,3,4,4,5,4,2,3,5,4,3,4.0,3.4
21–23,Male,Yes,Wild,2–3 times,1–6 months ago,4,4,5,4,5,5,5,4,4,3,4.4,4.2
21–23,Male,Yes,The Imitation Game,More than 3 times,Within last 1 month,2,2,1,1,1,1,2,1,1,2,1.4,1.4
18–20,Prefer not to say,Yes,Never Let Me Go,2–3 times,1–6 months ago,4,3,3,2,1,2,2,3,3,2,2.6,2.4
24 or above,Female,Yes,Brief Encounter,1 time,Within last 1 month,5,4,4,5,5,5,4,4,5,2,4.6,4.0
21–23,Female,Yes,The Pianist,1 time,1–6 months ago,2,3,4,4,4,3,3,4,4,4,3.4,3.6
Under 18,Male,Yes,Encanto,2–3 times,Within last 1 month,3,3,3,3,2,3,2,5,4,2,2.8,3.2
Under 18,Prefer not to say,Yes,Bambi,More than 3 times,More than 6 months ago,4,4,4,4,3,4,4,3,4,3,3.8,3.6
Under 18,Male,Yes,The Secret Garden,2–3 times,Within last 1 month,2,1,1,3,2,2,2,1,1,3,1.8,1.8
21–23,Female,Yes,Moonlight,2–3 times,Within last 1 month,2,2,2,3,2,2,3,1,2,1,2.2,1.8
21–23,Prefer not to say,Yes,Amour,1 time,Within last 1 month,4,5,5,5,5,5,5,5,5,5,4.8,5.0
21–23,Female,Yes,Amour,More than 3 times,Within last 1 month,3,2,3,3,3,4,3,2,1,3,2.8,2.6
24 or above,Female,Yes,Cries and Whispers,2–3 times,Within last 1 month,5,5,5,5,3,5,5,4,4,3,4.6,4.2
18–20,Female,Yes,Logan,1 time,Within last 1 month,3,2,2,3,3,2,1,3,1,2,2.6,1.8
24 or above,Male,Yes,Titanic,2–3 times,More than 6 months ago,3,5,4,3,3,4,3,4,5,2,3.6,3.6
24 or above,Female,Yes,Atonement,More than 3 times,1–6 months ago,4,4,4,3,3,3,3,3,5,3,3.6,3.4
21–23,Female,Yes,Rocketman,1 time,Within last 1 month,2,1,2,3,2,2,2,2,2,2,2.0,2.0
21–23,Female,Yes,Call Me by Your Name,More than 3 times,Within last 1 month,3,3,2,3,3,2,2,1,2,2,2.8,1.8
24 or above,Male,Yes,One Flew Over the Cuckoo's Nest,1 time,More than 6 months ago,3,3,4,5,3,2,4,5,3,4,3.6,3.6
24 or above,Female,Yes,Fanny and Alexander,2–3 times,Within last 1 month,3,2,3,4,5,2,3,3,4,3,3.4,3.0
18–20,Female,Yes,Marriage Story,1 time,More than 6 months ago,4,3,5,4,5,2,4,4,5,3,4.2,3.6
21–23,Male,Yes,Lion,1 time,More than 6 months ago,4,3,3,4,4,4,5,5,4,5,3.6,4.6
24 or above,Female,Yes,Son of Saul,2–3 times,1–6 months ago,2,2,1,1,1,3,1,1,2,2,1.4,1.8
24 or above,Female,Yes,The Joy Luck Club,1 time,More than 6 months ago,4,4,2,4,5,4,3,4,4,3,3.8,3.6
24 or above,Female,Yes,Belfast,1 time,Within last 1 month,5,5,5,4,5,4,4,4,5,5,4.8,4.4
18–20,Female,Yes,Titanic,2–3 times,More than 6 months ago,4,4,3,5,3,3,3,3,3,4,3.8,3.2
21–23,Prefer not to say,Yes,Wild,More than 3 times,1–6 months ago,4,3,5,4,4,5,5,5,5,5,4.0,5.0
24 or above,Female,Yes,Fried Green Tomatoes,1 time,Within last 1 month,4,2,3,5,4,5,4,5,5,4,3.6,4.6
21–23,Female,Yes,Forrest Gump,2–3 times,More than 6 months ago,4,4,5,5,3,4,4,4,5,4,4.2,4.2
Under 18,Male,Yes,Onward,2–3 times,Within last 1 month,3,4,4,4,4,3,3,3,2,2,3.8,2.6
Under 18,Prefer not to say,Yes,Moana,2–3 times,Within last 1 month,4,5,3,3,3,4,3,4,5,4,3.6,4.0
21–23,Male,Yes,Pan's Labyrinth,2–3 times,1–6 months ago,4,3,4,2,2,2,2,1,1,3,3.0,1.8
18–20,Male,Yes,Normal People,More than 3 times,Within last 1 month,5,5,4,3,4,4,5,4,5,3,4.2,4.2
21–23,Male,Yes,Eternal Sunshine of the Spotless Mind,1 time,Within last 1 month,4,3,4,3,5,4,5,4,4,4,3.8,4.2
18–20,Female,Yes,Arrival,1 time,Within last 1 month,3,5,3,4,4,2,3,2,3,2,3.8,2.4
18–20,Female,Yes,The Hate U Give,2–3 times,1–6 months ago,3,4,4,4,4,3,1,3,4,4,3.8,3.0
18–20,Prefer not to say,Yes,The Fault in Our Stars,2–3 times,1–6 months ago,3,3,2,3,2,3,2,4,3,4,2.6,3.2
21–23,Male,Yes,Interstellar,2–3 times,More than 6 months ago,4,4,4,5,4,3,3,3,4,2,4.2,3.0
18–20,Male,Yes,About Time,2–3 times,Within last 1 month,3,2,2,3,3,3,3,3,2,3,2.6,2.8
Under 18,Female,Yes,Bambi,1 time,Within last 1 month,5,4,4,4,5,4,3,4,4,4,4.4,3.8
21–23,Female,Yes,Minari,2–3 times,Within last 1 month,4,4,4,5,5,5,3,3,3,4,4.4,3.6
21–23,Male,Yes,Bohemian Rhapsody,1 time,1–6 months ago,4,3,3,3,2,2,2,2,4,4,3.0,2.8
18–20,Male,Yes,Arrival,2–3 times,More than 6 months ago,4,4,4,4,5,3,3,4,3,3,4.2,3.2
21–23,Male,Yes,A Ghost Story,More than 3 times,Within last 1 month,3,3,3,3,4,3,3,4,5,4,3.2,3.8
21–23,Male,Yes,The Kite Runner,1 time,1–6 months ago,3,2,4,4,3,3,4,4,4,4,3.2,3.8
21–23,Male,Yes,Boyhood,1 time,1–6 months ago,4,4,4,4,4,3,2,4,2,3,4.0,2.8
24 or above,Male,Yes,Terms of Endearment,1 time,Within last 1 month,4,3,3,1,4,2,3,3,3,4,3.0,3.0
21–23,Female,Yes,Wild,More than 3 times,Within last 1 month,3,3,2,3,3,1,1,2,2,2,2.8,1.6
Under 18,Female,Yes,Tangled,2–3 times,More than 6 months ago,3,3,2,4,3,3,3,2,3,3,3.0,2.8
21–23,Female,Yes,La La Land,2–3 times,More than 6 months ago,2,3,3,3,2,3,2,3,1,2,2.6,2.2
24 or above,Male,Yes,The King's Speech,1 time,Within last 1 month,1,1,3,1,2,2,2,1,2,3,1.6,2.0
18–20,Male,Yes,Love Simon,2–3 times,1–6 months ago,4,4,3,2,4,5,3,5,4,3,3.4,4.0
24 or above,Female,Yes,Cast Away,1 time,Within last 1 month,3,4,2,3,4,3,2,2,1,1,3.2,1.8
18–20,Female,Yes,Marriage Story,1 time,1–6 months ago,4,3,3,2,2,1,2,2,1,3,2.8,1.8
21–23,Prefer not to say,Yes,A Separation,2–3 times,Within last 1 month,5,4,4,4,4,4,5,4,4,3,4.2,4.0
24 or above,Female,Yes,Schindler's List,2–3 times,1–6 months ago,1,3,3,3,4,3,4,5,2,3,2.8,3.4
21–23,Male,Yes,Moonlight,More than 3 times,More than 6 months ago,3,2,1,3,2,2,4,3,3,3,2.2,3.0
Under 18,Female,Yes,Howl's Moving Castle,2–3 times,Within last 1 month,2,2,3,2,2,2,2,3,2,3,2.2,2.4
24 or above,Female,Yes,The Remains of the Day,2–3 times,Within last 1 month,5,5,5,5,5,3,4,3,4,4,5.0,3.6
21–23,Male,Yes,The Pianist,2–3 times,1–6 months ago,2,3,4,5,3,2,3,3,2,5,3.4,3.0
18–20,Female,Yes,Little Women,1 time,Within last 1 month,5,3,4,5,4,4,4,4,5,5,4.2,4.4
18–20,Female,Yes,Crazy Rich Asians,1 time,Within last 1 month,5,3,3,3,4,4,4,3,3,4,3.6,3.6
24 or above,Male,Yes,All Quiet on the Western Front,2–3 times,Within last 1 month,3,4,4,4,3,4,3,4,4,4,3.6,3.8
18–20,Male,Yes,Spider-Man Into the Spider-Verse,More than 3 times,Within last 1 month,3,4,5,4,5,2,3,4,2,3,4.2,2.8
21–23,Male,Yes,The Farewell,1 time,1–6 months ago,5,1,3,4,4,3,3,3,3,2,3.4,2.8
21–23,Female,Yes,A Beautiful Mind,1 time,1–6 months ago,4,5,5,5,5,4,4,5,3,5,4.8,4.2
24 or above,Female,Yes,The Reader,1 time,1–6 months ago,4,4,4,4,4,4,3,4,4,3,4.0,3.6
21–23,Male,Yes,Forrest Gump,2–3 times,Within last 1 month,3,5,5,4,5,5,4,4,5,5,4.4,4.6
21–23,Male,Yes,Manchester by the Sea,More than 3 times,1–6 months ago,3,4,3,4,3,2,2,2,2,2,3.4,2.0
21–23,Male,Yes,Little Women,1 time,1–6 months ago,4,5,5,5,5,4,5,3,4,4,4.8,4.0
18–20,Male,Yes,Avengers Infinity War,More than 3 times,More than 6 months ago,4,4,4,2,2,3,2,4,3,4,3.2,3.2
18–20,Female,Yes,The Dark Knight,1 time,1–6 months ago,4,4,5,5,4,5,2,4,4,4,4.4,3.8
24 or above,Male,Yes,The English Patient,1 time,1–6 months ago,2,2,3,4,3,4,4,3,3,4,2.8,3.6
Under 18,Female,Yes,Coco,2–3 times,Within last 1 month,4,4,4,4,3,5,4,4,3,3,3.8,3.8
21–23,Male,Yes,Pan's Labyrinth,More than 3 times,1–6 months ago,3,4,2,4,3,3,4,4,4,3,3.2,3.6
18–20,Female,Yes,Everything Everywhere All at Once,More than 3 times,More than 6 months ago,4,5,4,5,4,3,2,2,4,3,4.4,2.8
18–20,Male,Yes,Titanic,More than 3 times,More than 6 months ago,3,4,4,4,4,3,4,2,3,4,3.8,3.2
21–23,Female,Yes,Before Midnight,1 time,1–6 months ago,3,4,4,3,4,3,2,2,3,4,3.6,2.8
Under 18,Male,Yes,A Silent Voice,More than 3 times,Within last 1 month,2,3,3,2,3,3,2,1,3,2,2.6,2.2
24 or above,Male,Yes,Belfast,2–3 times,Within last 1 month,2,3,2,2,2,3,3,2,3,3,2.2,2.8
24 or above,Female,Yes,The Theory of Everything,1 time,More than 6 months ago,4,4,3,4,4,3,4,3,3,1,3.8,2.8
24 or above,Female,Yes,Pride and Prejudice,More than 3 times,Within last 1 month,4,5,5,4,4,4,4,4,4,4,4.4,4.0
Under 18,Female,Yes,Inside Out,More than 3 times,Within last 1 month,4,5,5,5,5,4,5,3,3,4,4.8,3.8
Under 18,Prefer not to say,Yes,Zootopia,More than 3 times,Within last 1 month,4,5,3,5,4,3,4,4,4,3,4.2,3.6
Under 18,Male,Yes,Inside Out,2–3 times,Within last 1 month,4,2,2,3,3,2,2,1,3,2,2.8,2.0
21–23,Female,Yes,Call Me by Your Name,More than 3 times,More than 6 months ago,3,3,2,1,3,1,1,1,1,1,2.4,1.0
18–20,Male,Yes,Spider-Man Into the Spider-Verse,More than 3 times,1–6 months ago,5,5,5,5,5,4,5,5,5,5,5.0,4.8
Under 18,Male,Yes,WALL-E,More than 3 times,More than 6 months ago,5,4,4,5,5,3,3,3,4,4,4.6,3.4
Under 18,Male,Yes,Spirited Away,More than 3 times,Within last 1 month,5,5,5,3,5,5,5,4,5,5,4.6,4.8
18–20,Female,Yes,Titanic,2–3 times,1–6 months ago,2,2,2,4,3,3,3,2,2,3,2.6,2.6
21–23,Female,Yes,The Social Network,2–3 times,1–6 months ago,5,4,4,4,4,3,4,3,3,3,4.2,3.2
21–23,Female,Yes,Spirited Away,More than 3 times,1–6 months ago,2,2,2,2,3,2,1,3,3,3,2.2,2.4
24 or above,Male,Yes,A Man Called Ove,2–3 times,More than 6 months ago,4,4,5,4,4,5,5,4,4,5,4.2,4.6
24 or above,Male,Yes,Still Alice,1 time,1–6 months ago,3,4,1,3,3,4,2,3,3,4,2.8,3.2
24 or above,Male,Yes,Truly Madly Deeply,2–3 times,1–6 months ago,4,4,5,5,5,4,4,5,4,3,4.6,4.0
21–23,Female,Yes,The Shawshank Redemption,1 time,1–6 months ago,2,3,3,4,4,2,4,2,2,3,3.2,2.6
18–20,Male,Yes,Whiplash,2–3 times,Within last 1 month,3,2,4,2,5,2,3,2,3,3,3.2,2.6
24 or above,Female,Yes,Good Will Hunting,2–3 times,More than 6 months ago,4,3,4,1,3,2,3,4,2,1,3.0,2.4
24 or above,Male,Yes,The Joy Luck Club,2–3 times,Within last 1 month,4,4,3,5,5,3,2,3,3,3,4.2,2.8
18–20,Female,Yes,The Perks of Being a Wallflower,1 time,1–6 months ago,4,4,5,4,5,2,5,3,3,5,4.4,3.6
24 or above,Male,Yes,Blue Valentine,1 time,1–6 months ago,4,4,4,4,4,3,4,4,4,3,4.0,3.6
21–23,Female,Yes,Marriage Story,2–3 times,1–6 months ago,3,2,4,3,3,1,3,4,1,3,3.0,2.4
24 or above,Male,Yes,Mystic River,2–3 times,1–6 months ago,2,2,2,2,4,2,2,3,1,1,2.4,1.8
21–23,Female,Yes,Schindler's List,More than 3 times,More than 6 months ago,2,3,4,4,2,3,3,2,3,2,3.0,2.6
21–23,Male,Yes,The Kite Runner,2–3 times,1–6 months ago,5,3,5,4,4,3,3,4,4,3,4.2,3.4
24 or above,Male,Yes,A Separation,1 time,More than 6 months ago,3,2,1,2,3,2,1,2,4,3,2.2,2.4
24 or above,Male,Yes,Blue Valentine,More than 3 times,1–6 months ago,4,4,3,4,3,3,4,2,2,2,3.6,2.6
Under 18,Female,Yes,Up,2–3 times,Within last 1 month,2,3,3,2,2,2,2,3,2,2,2.4,2.2
24 or above,Male,Yes,Love Actually,2–3 times,Within last 1 month,4,3,3,1,3,3,4,4,4,5,2.8,4.0
Under 18,Prefer not to say,Yes,The Little Mermaid,More than 3 times,1–6 months ago,3,3,3,4,4,5,4,5,5,5,3.4,4.8
Under 18,Female,Yes,Bambi,1 time,1–6 months ago,4,4,5,3,2,4,2,4,3,3,3.6,3.2
24 or above,Female,Yes,Cast Away,More than 3 times,1–6 months ago,4,4,3,4,5,3,3,3,4,3,4.0,3.2
21–23,Female,Yes,The Boy in the Striped Pyjamas,1 time,Within last 1 month,4,4,5,3,3,4,4,5,5,5,3.8,4.6
18–20,Female,Yes,Good Will Hunting,More than 3 times,Within last 1 month,4,3,5,4,5,3,3,4,4,3,4.2,3.4
Under 18,Female,Yes,Up,2–3 times,1–6 months ago,3,3,5,3,4,5,4,5,4,3,3.6,4.2
Under 18,Female,Yes,Paddington 2,More than 3 times,More than 6 months ago,3,4,5,4,4,4,4,4,4,3,4.0,3.8
21–23,Female,Yes,Inception,1 time,Within last 1 month,3,4,4,2,3,3,4,4,2,4,3.2,3.4
18–20,Male,Yes,Where the Crawdads Sing,1 time,1–6 months ago,5,5,5,5,5,4,4,5,3,5,5.0,4.2
21–23,Female,Yes,Arrival,1 time,Within last 1 month,2,3,3,3,1,1,2,3,2,3,2.4,2.2
18–20,Prefer not to say,Yes,Avengers Infinity War,1 time,Within last 1 month,3,3,3,2,4,3,3,3,1,2,3.0,2.4
Under 18,Female,Yes,Howl's Moving Castle,More than 3 times,1–6 months ago,1,3,4,4,1,4,3,4,2,4,2.6,3.4
24 or above,Female,Yes,American Beauty,2–3 times,1–6 months ago,5,5,5,4,4,4,3,3,4,4,4.6,3.6
21–23,Female,Yes,Pride and Prejudice,1 time,Within last 1 month,4,4,4,3,5,3,3,5,3,2,4.0,3.2
18–20,Male,Yes,Titanic,1 time,Within last 1 month,1,3,4,3,3,4,1,2,2,3,2.8,2.4
18–20,Female,Yes,Crazy Rich Asians,1 time,More than 6 months ago,4,5,5,4,3,4,4,4,3,5,4.2,4.0
24 or above,Female,Yes,The Reader,More than 3 times,Within last 1 month,2,2,3,1,2,2,3,4,3,2,2.0,2.8
24 or above,Female,Yes,Boys Don't Cry,2–3 times,More than 6 months ago,5,2,4,4,4,4,4,4,3,4,3.8,3.8
21–23,Female,Yes,La La Land,1 time,Within last 1 month,3,3,4,3,4,4,2,3,3,3,3.4,3.0
21–23,Male,Yes,Atonement,2–3 times,Within last 1 month,4,5,3,4,4,3,2,5,3,3,4.0,3.2
18–20,Female,Yes,A Silent Voice,More than 3 times,Within last 1 month,5,5,5,4,5,5,5,2,5,5,4.8,4.4
24 or above,Female,Yes,Casablanca,1 time,Within last 1 month,4,4,4,5,4,3,4,2,4,3,4.2,3.2
21–23,Female,Yes,A Separation,2–3 times,1–6 months ago,3,4,4,3,3,3,5,3,3,5,3.4,3.8
18–20,Female,Yes,Me Before You,2–3 times,1–6 months ago,3,3,3,3,4,5,3,2,4,3,3.2,3.4
21–23,Prefer not to say,Yes,Aftersun,More than 3 times,Within last 1 month,2,4,2,2,4,2,2,1,2,3,2.8,2.0
24 or above,Female,Yes,Cries and Whispers,1 time,1–6 months ago,4,2,4,3,3,2,3,3,2,4,3.2,2.8
18–20,Female,Yes,The Perks of Being a Wallflower,1 time,1–6 months ago,4,4,4,5,4,4,3,3,4,5,4.2,3.8
21–23,Female,Yes,Life is Beautiful,2–3 times,More than 6 months ago,3,2,2,4,3,4,2,5,3,3,2.8,3.4
18–20,Female,Yes,Portrait of a Lady on Fire,1 time,Within last 1 month,4,5,4,4,4,2,3,4,2,2,4.2,2.6
18–20,Female,Yes,Moonlight,2–3 times,1–6 months ago,3,1,2,3,4,1,3,4,1,2,2.6,2.2
21–23,Male,Yes,La La Land,1 time,Within last 1 month,4,4,4,3,3,4,4,3,3,5,3.6,3.8
24 or above,Female,Yes,Come and See,1 time,More than 6 months ago,4,4,4,3,5,4,4,5,4,4,4.0,4.2
Under 18,Female,Yes,Balto,More than 3 times,Within last 1 month,3,4,5,4,4,2,2,3,3,4,4.0,2.8
21–23,Male,Yes,Boyhood,2–3 times,1–6 months ago,4,4,3,4,5,4,5,4,4,3,4.0,4.0
21–23,Male,Yes,Forrest Gump,1 time,1–6 months ago,2,3,2,2,2,2,1,2,3,2,2.2,2.0
21–23,Male,Yes,Spotlight,1 time,Within last 1 month,4,5,4,5,5,4,4,5,5,5,4.6,4.6
21–23,Female,Yes,Parasite,1 time,More than 6 months ago,5,4,4,3,4,5,5,2,4,3,4.0,3.8
21–23,Prefer not to say,Yes,Eternal Sunshine of the Spotless Mind,2–3 times,1–6 months ago,3,2,4,4,5,2,3,2,3,4,3.6,2.8
18–20,Female,Yes,Never Let Me Go,1 time,1–6 months ago,1,1,1,3,1,2,2,4,3,1,1.4,2.4
18–20,Male,Yes,All the Bright Places,2–3 times,More than 6 months ago,4,4,4,4,3,2,3,4,4,2,3.8,3.0
18–20,Prefer not to say,Yes,Inception,2–3 times,Within last 1 month,4,4,4,5,5,4,4,5,3,4,4.4,4.0
Under 18,Female,Yes,Wolfwalkers,1 time,More than 6 months ago,3,4,2,4,2,4,4,4,5,4,3.0,4.2
18–20,Female,Yes,Dead Poets Society,More than 3 times,1–6 months ago,3,3,3,4,4,2,2,3,2,2,3.4,2.2
21–23,Female,Yes,A Silent Voice,1 time,More than 6 months ago,3,3,3,4,3,4,2,3,3,3,3.2,3.0
18–20,Female,Yes,Silver Linings Playbook,2–3 times,More than 6 months ago,3,3,1,2,2,3,3,2,1,2,2.2,2.2
24 or above,Female,Yes,An Affair to Remember,1 time,More than 6 months ago,2,2,2,2,2,2,2,2,2,3,2.0,2.2
Under 18,Male,Yes,Onward,More than 3 times,1–6 months ago,5,5,5,4,5,4,4,3,4,5,4.8,4.0
18–20,Female,Yes,The Notebook,More than 3 times,1–6 months ago,4,5,5,5,5,4,3,4,3,4,4.8,3.6
24 or above,Female,Yes,Braveheart,1 time,More than 6 months ago,4,3,5,4,4,3,4,4,1,4,4.0,3.2
24 or above,Male,Yes,About Time,2–3 times,1–6 months ago,2,3,2,2,1,2,4,3,2,1,2.0,2.4
18–20,Male,Yes,Crazy Rich Asians,2–3 times,1–6 months ago,3,3,3,4,3,4,3,4,4,3,3.2,3.6
24 or above,Male,Yes,A River Runs Through It,1 time,More than 6 months ago,2,3,1,3,1,1,2,2,1,2,2.0,1.6
Under 18,Male,Yes,The Lion King,2–3 times,Within last 1 month,4,5,4,5,5,4,3,5,4,4,4.6,4.0
24 or above,Prefer not to say,Yes,The Way We Were,1 time,Within last 1 month,4,4,3,3,4,5,4,3,5,3,3.6,4.0
24 or above,Male,Yes,Casablanca,2–3 times,1–6 months ago,3,4,3,2,3,3,3,3,2,3,3.0,2.8
21–23,Prefer not to say,Yes,The Lives of Others,More than 3 times,Within last 1 month,5,4,3,4,5,5,3,4,4,4,4.2,4.0
24 or above,Female,Yes,The Theory of Everything,2–3 times,1–6 months ago,4,2,3,2,3,3,2,2,2,3,2.8,2.4
24 or above,Female,Yes,Terms of Endearment,2–3 times,More than 6 months ago,3,4,4,4,3,3,5,4,3,3,3.6,3.6
18–20,Female,Yes,The Notebook,2–3 times,1–6 months ago,3,4,2,4,4,3,4,2,2,3,3.4,2.8
21–23,Male,Yes,Drive My Car,More than 3 times,Within last 1 month,4,4,5,3,3,4,2,4,3,3,3.8,3.2
24 or above,Prefer not to say,Yes,A Man Called Ove,More than 3 times,1–6 months ago,3,4,5,3,5,3,2,4,3,3,4.0,3.0
21–23,Female,Yes,Rocketman,1 time,1–6 months ago,4,5,4,4,4,5,5,4,3,4,4.2,4.2
18–20,Female,Yes,Five Feet Apart,2–3 times,1–6 months ago,3,4,3,3,3,2,2,3,1,3,3.2,2.2
18–20,Male,Yes,Avengers Endgame,2–3 times,More than 6 months ago,2,2,2,3,2,1,4,2,3,4,2.2,2.8
